"","time","I","D","I_.25","D_.25","I_.5","D_.5","I_.6","D_.6","I_.7","D_.7","I_.8","D_.8"
"288",287,4.57534522028724,169157.809194333,27.1746247641868,161706.846746678,178.707987467117,152045.839808969,389.522846346759,147369.889701063,859.307244697187,142102.011233506,1911.82628039819,136097.984551547
"289",288,4.27158159928135,169157.84077808,25.5437936473675,161707.034966672,169.236414813321,152047.082160634,370.051749672162,147372.601873576,819.067646867528,142108.004282716,1828.69730140612,136111.341373781
"290",289,3.98798517765405,169157.870264937,24.0108304335013,161707.211891006,160.266707664471,152048.258666839,351.553348897466,147375.178470372,780.709496049783,142113.716679132,1749.1688775887,136124.117370839
"291",290,3.72321704525222,169157.897794119,22.5698623370481,161707.378197544,151.772287387046,152049.372816554,333.979111296385,147377.626264473,744.145087745449,142119.161545956,1673.08625339102,136136.337704293
"292",291,3.47602718123931,169157.923495598,21.2153689390936,161707.534523477,143.727981553602,152050.427913969,317.282919916896,147379.951690939,709.290781603556,142124.351394556,1600.30122280936,136148.026453872
"293",292,3.24524855299783,169157.947490718,19.9421610504111,161707.681467756,136.10994968757,152051.427088272,301.420953895922,147382.160863693,676.066815314398,142129.298152827,1530.67186094145,136159.206663281
"294",293,3.02979160676218,169157.969892766,18.7453608418507,161707.819593392,128.895612914279,152052.373302907,286.351574648516,147384.259591514,644.397126821046,142134.013192252,1464.06226578483,136169.900384137
"295",294,2.82863912398107,169157.990807509,17.6203831661374,161707.949429609,122.06358731427,152053.269364346,272.035217649618,147386.253393229,614.209184496099,142138.507353723,1400.34230995748,136180.128718096
"296",295,2.64084141913409,169158.010333689,16.5629179997004,161708.071473875,115.593620785463,152054.117930401,258.434289536619,147388.147512163,585.433824859709,142142.790972182,1339.38740202057,136189.911857243
"297",296,2.46551185633793,169158.028563496,15.5689139374235,161708.186193802,109.466533230623,152054.921518085,245.513070276713,147389.946929865,558.005097844337,142146.873900103,1281.07825702309,136199.269122823
"298",297,2.30182266358188,169158.045582998,14.6345626772241,161708.294028944,103.664159896138,152055.682511072,233.237620153571,147391.656379151,531.860118897614,142150.765529906,1225.30067614938,136208.219002337
"299",298,2.14900102483649,169158.061472548,13.75628443514,161708.395392474,98.1692976970487,152056.403166752,221.575691338943,147393.280356506,506.938927587214,142154.474815371,1171.94533516748,136216.779185084
"300",299,2.00632543159024,169158.076307166,12.9307142351576,161708.490672772,92.9656543718295,152057.085622921,210.496643827068,147394.823133863,483.184352766243,142158.010292036,1120.90758082636,136224.96659628
"301",300,1.87312227659363,169158.09015689,12.1546890213476,161708.580234912,88.0378003185481,152057.731904106,199.971365519186,147396.288769801,460.541883910085,142161.380096653,1072.08723552622,136232.797429735
"302",301,1.74876267373242,169158.103087108,11.4252355430195,161708.664422058,83.371122971698,152058.343927571,189.972196255909,147397.681120188,438.959548239287,142164.591985742,1025.38840990812,136240.287179129
"303",302,1.6326594890196,169158.115158869,10.739558966553,161708.74355678,78.9517835863291,152058.923508991,180.47285560498,147399.003848284,418.387793414272,142167.653353305,980.719322907831,136247.450667991
