"","time","S","E","I","R","D","N_t"
"160",159,93076.4652586953,4.71961637816254,31.9554297161973,3711542.51671045,195344.34298476,4e+06
"161",160,93076.078614176,4.2138678114653,28.5319151803213,3711546.61682269,195344.558780142,4e+06
"162",161,93075.7333939406,3.7623219861617,25.4751557710567,3711550.27767189,195344.751456415,4e+06
"163",162,93075.4251599765,3.35916840069179,22.7458655190725,3711553.5463158,195344.923490305,4e+06
"164",163,93075.1499497221,2.99921970862495,20.3089659264419,3711556.46477141,195345.077093232,4e+06
"165",164,93074.9042251335,2.67784483512441,18.1331354982528,3711559.07055481,195345.214239727,4e+06
"166",165,93074.6848272085,2.39090928208288,16.1904074749148,3711561.39716323,195345.336692802,4e+06
"167",166,93074.4889353807,2.13472184737824,14.4558106130735,3711563.47450555,195345.446026608,4e+06
"168",167,93074.3140312632,1.90598706751447,12.9070484126898,3711565.32928659,195345.543646663,4e+06
"169",168,93074.1578662765,1.70176276759126,11.5242126790559,3711566.98535036,195345.630807914,4e+06
"170",169,93074.0184327438,1.51942216909528,10.2895277474668,3711568.46398647,195345.708630867,4e+06
"171",170,93073.8939380828,1.35662006532156,9.18712209048254,3711569.78420377,195345.778115988,4e+06
"172",171,93073.7827817623,1.21126262710976,8.20282437814337,3711570.96297467,195345.840156562,4e+06
"173",172,93073.6835347267,1.08148044872323,7.32398137458244,3711572.01545328,195345.895550172,4e+06
"174",173,93073.5949210259,0.96560448573596,6.53929533416688,3711572.9551702,195345.945008958,4e+06
"175",174,93073.5158014119,0.862144574280391,5.83867881015009,3711573.79420644,195345.98916876,4e+06
"176",175,93073.4451586932,0.769770254445425,5.21312501199903,3711574.54334874,195346.028597302,4e+06
"177",176,93073.3820846587,0.687293650437556,4.65459204691229,3711575.21222816,195346.063801482,4e+06
"178",177,93073.3257684013,0.613654186723403,4.1558995591042,3711575.80944396,195346.095233893,4e+06
"179",178,93073.2754858938,0.547904943107187,3.71063643946516,3711576.34267409,195346.123298636,4e+06
"180",179,93073.2305906803,0.489200472873616,3.31307842024746,3711576.8187739,195346.148356521,4e+06
"181",180,93073.1905055656,0.43678592702207,2.95811449628147,3711577.24386431,195346.1707297,4e+06
"182",181,93073.1547151949,0.38998734447881,2.64118122751894,3711577.62341042,195346.190705812,4e+06
"183",182,93073.1227594282,0.348202983220101,2.35820407887686,3711577.96229183,195346.208541675,4e+06
"184",183,93073.0942274247,0.31089558066665,2.10554504370941,3711578.26486535,195346.224466597,4e+06
"185",184,93073.0687523611,0.277585443693246,1.87995587792455,3711578.535021,195346.238685316,4e+06
"186",185,93073.0460067153,0.247844279292807,1.67853634381648,3711578.77623203,195346.251380633,4e+06
"187",186,93073.0256980561,0.22128968647989,1.49869692703026,3711578.99159956,195346.262715766,4e+06
"188",187,93073.0075652834,0.197580238539079,1.3381255475333,3711579.18389248,195346.272836446,4e+06
"189",188,93072.9913752713,0.176411092328826,1.19475783677664,3711579.35558301,195346.28187279,4e+06
"190",189,93072.9769198712,0.157510068139837,1.06675059904543,3711579.50887849,195346.289940973,4e+06
"191",190,93072.9640132354,0.140634149666828,0.952458115909157,3711579.64574977,195346.297144725,4e+06
"192",191,93072.9524894283,0.125566359061727,0.850410989213791,3711579.76795656,195346.303576661,4e+06
"193",192,93072.9422002925,0.11211296686518,0.759297250677703,3711579.87707001,195346.309319474,4e+06
"194",193,93072.9330135443,0.100101000923826,0.677945495280502,3711579.97449296,195346.314446998,4e+06
"195",194,93072.924811073,0.0893760222489872,0.605309821641915,3711580.06147793,195346.319025154,4e+06
"196",195,93072.9174874223,0.0798001392077472,0.540456385810796,3711580.13914325,195346.323112803,4e+06
